idCliente,numero,nombre,jornada,idJornadaSugerida,horaApertura,horaCierre,emailContacto,codArea1,telefono1,codArea2,telefono2,stock,fechaActualizacionStock,Formato,idFormatoLocal,REGION,COMUNA/CIUDAD,cutComuna,direccion,referencia,gmapShortUrl,gmapIframeUrl,createdAt,editedAt
5,395,Megasalud Viña del Mar,noche,3,09:00,19:00,,,32 - 2- 683206,,32 - 2- 683206,1000,2016-04-05,MULTIFUNCIONAL,13,,Viña del Mar,5109,3 Norte N° 464,,,,,
5,396,Plaza Perú,noche,3,08:30,21:00,,,41 - 2- 211276,,41 - 2- 211276,1000,2016-04-05,MULTIF. GONDOLA,12,,Concepción,8101,Plaza Perú N°111-115 L- 2 Y 3,,,,,
5,398,Chiguayante 1,noche,3,09:00,22:00,,,41 - 2- 356895,,41 - 2- 356895,1000,2016-04-05,MULTIFUNCIONAL,13,,Chiguayante,8103,Manuel Rodríguez N° 575,,,,,
5,399,Lider Puerto Montt,noche,3,09:00,22:00,,,65 - 2- 560332,,65 - 2- 560332,1000,2016-04-05,MULTIFUNCIONAL,13,,Puerto Montt,10101,"Monseñor Ramón Munita N°1625, Local 8 y 9",,,,,
5,400,Líder Osorno,noche,3,09:00,22:00,,,64 - 2- 269755,,64 - 2- 269755,1000,2016-04-05,MULTIFUNCIONAL,13,,Osorno,10301,René Soriano N°2855 L-2,,,,,
5,401,Coquimbo 2,noche,3,09:00,21:00,,,51 - 2- 316940,,51 - 2- 316940,1000,2016-04-05,MULTIFUNCIONAL,13,,Coquimbo,4102,Aldunate N° 1109,,,,,
5,402,Coquimbo 3,noche,3,09:00,21:00,,,51 - 2- 325347,,51 - 2- 325347,1000,2016-04-05,STORE,14,,Coquimbo,4102,Aldunate N° 1230,,,,,
5,404,Curicó,noche,3,09:00,22:00,,,75 - 2- 324023,,75 - 2- 324023,1000,2016-04-05,STORE,14,,Curicó,7301,Avda. España N° 703,,,,,
5,405,Mall Plaza Vespucio,noche,3,10:00,21:30,,,2-2- 4227100,,,1000,2016-04-05,MULTIF. GONDOLA,12,,La Florida,13110,Avda. VIicuña Mackenna Oriente N° 7110 Local 110,,,,,
5,406,Angol 2,noche,3,09:00,21:30,,,45 - 2- 715515,,45 - 2- 715515,1000,2016-04-05,STORE,14,,Angol,9201,Chorrillos N°402,,,,,
5,407,Mall Plaza Antofagasta,noche,3,10:00,22:00,,,55 - 2- 533347,,55 - 2- 533347,1000,2016-04-05,STORE,14,,Antofagasta,2101,Balmaceda N° 2355 L-161,,,,,
5,408,Jumbo La Serena,noche,3,08:30,22:00,,,51 - 2- 470530,,51 - 2- 470530,1000,2016-04-05,MULTIF. GONDOLA,12,,La Serena,4101,Parcela 69/Ruta 5 .Vega sur. L-1009,,,,,
5,409,Mall Center Curicó,noche,3,09:30,21:30,,,75 - 2- 544006,,75 - 2- 544005,1000,2016-04-05,STORE,14,,Curicó,7301,Avda. Bernardo Ohiggins N° 201 L- 72,,,,,
5,410,Jumbo Los Andes,noche,3,08:30,21:30,,,34 - 2- 421638,,34 - 2- 421638,1000,2016-04-05,MULTIFUNCIONAL,13,,Los Andes,5301,Avda. Argentina N° 805 L-1013,,,,,
5,411,Ancud,noche,3,09:00,21:00,,,65 - 2- 624287,,65 - 2- 624287,1000,2016-04-05,MULTIF. GONDOLA,12,,Ancud,10202,Pudeto N° 301,,,,,
5,412,Mall Plaza El Trebol,noche,3,10:30,21:30,,,41 - 2- 563717,,,1000,2016-04-05,STORE,14,,Talcahuano,8110,Avda. Jorge Alesandri N°3177-L B-116c/ B-114a,,,,,
5,413,La Serena 5,noche,3,09:00,22:00,,,51 - 2- 217834,,51 - 2- 217834,1000,2016-04-05,STORE,14,,La Serena,4101,Gregorio Cordovez N° 601,,,,,
5,414,Santa Isabel Osorno,noche,3,09:00,21:30,,,64 - 2- 428274,,64 - 2- 428274,1000,2016-04-05,MULTIFUNCIONAL,13,,Osorno,10301,"Alonso de Ercilla N°1075, L-1868",,,,,
5,415,Megasalud Calama,noche,3,08:30,21:30,,,55 - 2- 364481,,55 - 2- 364481,1000,2016-04-05,MULTIF. GONDOLA,12,,Calama,2201,Avda. Graneros N°1464,,,,,
5,416,Mall Center Calama,noche,3,09:30,22:00,,,55 - 2- 362795,,55 - 2- 362795,1000,2016-04-05,STORE,14,,Calama,2201,Balmaceda N° 3242 L-104,,,,,
5,417,Iquique 5,noche,3,09:00,21:30,,,57- 2- 473557,,57- 2- 473557,1000,2016-04-05,STORE,14,,Iquique,1101,Tarapacá N° 521,,,,,
