idCliente,numero,Formato,stock,fechaStock
2,458,AS,26948,2016-04-04
2,459,AS,38022,2016-04-04
2,460,AS,25174,2016-04-04
2,461,AS,34055,2016-04-04
2,462,MG,26235,2016-04-04
2,463,AS,36053,2016-04-04
2,464,MG,19780,2016-04-04
2,466,AS,29096,2016-04-04
2,467,MG,26608,2016-04-04
2,468,AS,53130,2016-04-04
2,469,MF,21823,2016-04-04
2,470,MF,15508,2016-04-04
2,471,MF,18839,2016-04-04
2,472,AS,26423,2016-04-04
2,473,MG,25880,2016-04-04
2,475,AS,40989,2016-04-04
2,476,MF,21179,2016-04-04
2,478,MG,21476,2016-04-04
2,479,MG,24827,2016-04-04
2,480,AS,28239,2016-04-04
2,481,AS,30439,2016-04-04
2,482,AS,42004,2016-04-04
2,484,MG,26082,2016-04-04
2,485,MF,24094,2016-04-04
2,486,MG,21268,2016-04-04
2,487,MG,22344,2016-04-04
2,490,AS,27423,2016-04-04
2,491,MG,23951,2016-04-04
2,492,AS,32368,2016-04-04
2,493,AS,42442,2016-04-04
2,494,AS,24102,2016-04-04
2,496,AS,30799,2016-04-04
2,497,AS,27433,2016-04-04
2,498,AS,24562,2016-04-04
2,499,AS,28245,2016-04-04
2,702,MF,22280,2016-04-04
2,709,AS,27048,2016-04-04
2,710,MF,20958,2016-04-04
2,711,AS,26255,2016-04-04
2,712,AS,28183,2016-04-04
2,713,MG,22970,2016-04-04
2,714,AS,30336,2016-04-04
2,715,AS,27741,2016-04-04
2,716,MF,15052,2016-04-04
2,717,MF,16309,2016-04-04
2,718,AS,22907,2016-04-04
2,719,MF,17664,2016-04-04
2,721,AS,31185,2016-04-04
2,722,MF,18910,2016-04-04
2,723,AS,23982,2016-04-04
2,724,AS,27907,2016-04-04
2,725,MF,20297,2016-04-04
2,727,AS,25047,2016-04-04
2,728,MG,22395,2016-04-04
2,729,MG,25265,2016-04-04
2,731,AS,42325,2016-04-04
2,732,MF,13535,2016-04-04
2,733,MF,16527,2016-04-04
2,734,MG,27041,2016-04-04
2,735,AS,22932,2016-04-04
2,736,MG,23187,2016-04-04
2,737,AS,29119,2016-04-04
2,739,AS,30511,2016-04-04
2,740,MG,19168,2016-04-04
2,744,MF,15377,2016-04-04
2,745,MF,30342,2016-04-04
2,747,MF,18785,2016-04-04
2,748,MG,21356,2016-04-04
2,749,MF,16275,2016-04-04
2,750,MG,18306,2016-04-04
2,751,AS,24452,2016-04-04
2,754,MG,29273,2016-04-04
2,755,MF,15031,2016-04-04
2,756,AS,26166,2016-04-04
2,757,MF,41206,2016-04-04
2,758,MG,17972,2016-04-04
2,759,MG,19704,2016-04-04
2,765,AS,36420,2016-04-04
2,766,MG,29663,2016-04-04
2,767,AS,26882,2016-04-04
2,768,MG,20947,2016-04-04
2,769,MG,23656,2016-04-04
2,770,MG,26289,2016-04-04
2,771,AS,24738,2016-04-04
2,772,MG,19372,2016-04-04
2,773,AS,25522,2016-04-04
2,774,MG,20118,2016-04-04
2,775,AS,26457,2016-04-04
2,776,MG,20874,2016-04-04
2,777,AS,28894,2016-04-04
2,778,MG,23187,2016-04-04
2,779,MF,19556,2016-04-04
2,780,MG,31520,2016-04-04
2,784,AS,21379,2016-04-04
2,785,AS,26270,2016-04-04
2,786,AS,30559,2016-04-04
2,787,MG,25411,2016-04-04
2,788,MF,19355,2016-04-04
2,789,MG,25981,2016-04-04
2,792,MG,28284,2016-04-04
2,793,AS,43337,2016-04-04
2,794,AS,26108,2016-04-04
2,796,AS,31174,2016-04-04
2,797,AS,20242,2016-04-04
2,798,MG,17663,2016-04-04
2,799,AS,21580,2016-04-04
2,831,MG,27296,2016-04-04
2,834,AS,26719,2016-04-04
2,835,MF,15550,2016-04-04
2,837,AS,21322,2016-04-04
2,838,AS,22725,2016-04-04
2,840,MF,14063,2016-04-04
2,848,AS,23838,2016-04-04
2,849,MG,31045,2016-04-04
2,850,MF,19826,2016-04-04
2,851,AS,27106,2016-04-04
2,852,AS,20181,2016-04-04
2,853,MG,35460,2016-04-04
2,854,MG,24813,2016-04-04
2,855,MG,25605,2016-04-04
2,858,AS,21773,2016-04-04
2,859,AS,24692,2016-04-04
2,860,AS,22216,2016-04-04
2,861,MG,18693,2016-04-04
2,862,AS,27693,2016-04-04
2,863,MF,14166,2016-04-04
2,864,AS,27853,2016-04-04
2,865,AS,28852,2016-04-04
2,866,MG,12607,2016-04-04
2,867,MF,13574,2016-04-04
2,868,MG,21837,2016-04-04
2,873,MF,17911,2016-04-04
2,877,AS,22448,2016-04-04
2,879,MG,19479,2016-04-04
2,883,MG,20836,2016-04-04
2,886,AS,24340,2016-04-04
2,892,MG,23579,2016-04-04
2,908,AS,23373,2016-04-04
2,909,AS,27455,2016-04-04
2,910,MF,12513,2016-04-04
